id,Place Name,created_at,favorite_count,full_text,quote_count,reply_count,retweet_count
1,Monumen Nasional,Fri Mar 08 07:50:29 +0000 2024,186,Hari ini Konde ngantor di depan Bawaslu sampai Monas! Merayakan bersama kawan perempuan lainnya dalam Hari Perempuan Sedunia. Salah satu jurnalis kami Salsabila Putri Pertiwi turut berorasi mewakilkan suara perempuan dari PRT korban tragedi pelanggaran HAM hingga jurnalis. https://t.co/yYiQquzfSd,3,1,43
1,Monumen Nasional,Tue Mar 19 09:28:03 +0000 2024,477,28102023 @SP_IndiraJKT48 Pada Pesta Perayaan Pemuda oleh Kemenpora di Plaza Barat Monas. https://t.co/uvlENz2lmq,2,0,70
1,Monumen Nasional,Tue Mar 19 14:08:30 +0000 2024,1061,-en Alhamdulillah bukber hari ini lancar Lapangan Monas https://t.co/59QJ9R73a7,4,17,115
1,Monumen Nasional,Sat Mar 30 11:04:50 +0000 2024,20,Babi vin4 betina ini kok koyo telek klo gak dandan. Gantung dia d Monas! https://t.co/qDN1HsvIht,1,5,11
1,Monumen Nasional,Fri Mar 01 23:21:45 +0000 2024,387,Misalnya neh yg salah ucapan ini Anies atau Ganjar. Mungkin pasukan Siber Monas dah ajuin anggaran untuk membully mereka. Mulai yg Keri-Tink Keri-Bo Pecian hingga PSI-an bakal turun gunung. Cair!!! https://t.co/GCUmPL9f7o,7,48,212
1,Monumen Nasional,Wed Mar 13 15:21:22 +0000 2024,420,Baru tau Jihoon pernah foto depan monas https://t.co/U8nEkD0t0x,0,19,23
1,Monumen Nasional,Sun Mar 31 09:46:50 +0000 2024,7,PASKAH DI MONAS PASKAH di Monas tahun 2018 menandakan bahwa tempat ini dapat digunakan untuk semua acara keagamaan. #keadilandankesetaraan #paskah #yesuskristus #toleransiagama @aniesbaswedan #tiktokmarmutkota https://t.co/d13DfJk2SI,0,0,2
1,Monumen Nasional,Mon Mar 18 15:01:24 +0000 2024,99,Ada tiga titik demo demo di depan gedung DPR demo di depan gedung KPU dan demo di Patung Kuda Monas menuju istana Presiden Senin 18 Maret 2024. https://t.co/idP30tKD90,2,5,54
1,Monumen Nasional,Mon Mar 04 01:05:54 +0000 2024,9,Pagii euy Liat dah ada monas https://t.co/3v09DHC1kz,0,3,0
1,Monumen Nasional,Fri Mar 22 16:42:12 +0000 2024,15,Udah lama gak lihat monas https://t.co/unVnHZY3Ba,0,2,1
1,Monumen Nasional,Sun Jul 30 10:31:45 +0000 2023,13,Monas 1967. Monas adl perlambangkan Lingga kata Lingga / Siwalingga merupakan sebuah objek tegak tinggi yg berasosiasi pada falus (alat vital pria). Monas melambangkan laki-laki atau ayah merupakan simbol perjuangan dan semangat yg tidak pernah putus. https://t.co/O6ur8dhvXl,1,2,5
1,Monumen Nasional,Sat Jul 29 08:46:33 +0000 2023,84,Suju habis ke Monas ternyata https://t.co/bwNznRM3DB,3,0,19
1,Monumen Nasional,Sun Jul 23 09:18:46 +0000 2023,123,Kalo aja ga ada tante tante centhil yg ngebebekin Seonno sampe ke hotel minimal Seonno bisa begini di Monas lah. Atau ke Taman Kota Senayan https://t.co/mPFPQLjxqe,10,1,28
1,Monumen Nasional,Thu Jan 18 12:47:05 +0000 2024,4,HOW TF IS PUCUKAN MONAS AMPE KE GBK https://t.co/Q23rtLWZWW,0,2,0
1,Monumen Nasional,Sat Jan 20 14:43:39 +0000 2024,3,Pawon tau gak bedanya pohon yang ada di Monas sama kamu? Kalau pohon yang ada di Monas itu Mahoni kalau pawon itu My Honey https://t.co/MwTLL91OwE,0,2,0
1,Monumen Nasional,Sun Jan 14 14:20:58 +0000 2024,28,Free Free Palestine! Free Free Palestine! Pidato Pak @aniesbaswedan saat Aksi Bela Palestina 🇵🇸 Monas 5/11/2023 Allahu Akbar! #FreePalestine #FreePalestine https://t.co/t7ALIRVYXI,0,1,15
1,Monumen Nasional,Sat May 25 13:10:22 +0000 2024,3,Baru sempet posting Project Kyuhyun in Monas https://t.co/qPImQgje14,0,0,1
